All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly          # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N75      NG75     L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NGA50  NGA75  LGA50  LGA75
A_STAR            12                      5                       3                        2                        0                        104778                     94479                      80797                       57192                       0                           14         30525           106303        5818              61.58   64.58             26667    30525    23605    30525    2    1     3    1     0                0                       0                            0                      0                         0                         2                         0 + 10 part          70063             93.520               6.661              23181.85           845.43                    36.76                 2037               10880                 1307   1218   2      3    
HipMer            13                      10                      9                        3                        0                        224951                     221016                     212281                      88897                       0                           13         31845           224951        5818              62.38   64.58             22180    31845    20300    31845    5    1     7    1     0                0                       0                            0                      0                         0                         0                         0 + 11 part          213704            94.981               2.035              1.33               90.48                     18.10                 2716               10485                 2716   2716   2      2    
marmgCAMI2        1                       1                       1                        1                        1                        5017042                    5017042                    5017042                     5017042                     5017042                     1          5017042         5017042       5818              62.61   64.58             5017042  5017042  5017042  5017042  1    1     1    1     0                0                       0                            0                      0                         0                         1                         0 + 1 part           5011224           100.000              1.000              0.00               0.00                      0.00                  2716               5818                  1186   916    2      3    
Megahit           17                      14                      12                       4                        3                        373553                     368140                     352171                      235558                      204776                      22         87878           377426        5818              62.72   64.58             57776    87878    14287    87878    3    1     7    1     0                0                       0                            0                      0                         0                         1                         0 + 16 part          359695            100.000              3.048              0.00               1512.55                   0.00                  2716               16290                 2128   2128   2      2    
metaSPAdes        14                      11                      10                       4                        4                        389813                     382619                     375416                      257712                      257712                      15         74338           390483        5818              62.88   64.58             54518    74338    20718    74338    3    1     6    1     0                0                       0                            0                      0                         0                         0                         0 + 12 part          372527            100.000              3.086              0.00               51.56                     0.00                  2716               17163                 2716   2716   2      2    
Miniasm           6                       5                       4                        2                        1                        141235                     139819                     132481                      102728                      54612                       6          54612           141235        5818              62.76   64.58             48116    54612    16317    54612    2    1     3    1     0                0                       0                            0                      0                         0                         0                         0 + 5 part           134805            100.000              1.105              0.00               0.00                      17.19                 2716               5930                  1186   916    2      3    
OPERA_MS_inhouse  5                       5                       5                        3                        3                        413836                     413836                     413836                      380564                      380564                      5          178489          413836        5818              62.81   64.58             128370   178489   73705    178489   2    1     3    1     0                0                       0                            0                      0                         0                         2                         0 + 5 part           407885            98.195               1.042              0.00               490.11                    17.50                 2782               5951                  1186   540    2      3    
SPAdes            4                       2                       2                        0                        0                        31448                      25925                      25925                       0                           0                           5          13038           32121         5818              61.50   64.58             12887    13038    12887    13038    2    1     2    1     0                0                       0                            0                      0                         0                         0                         0 + 4 part           27209             83.654               1.009              0.00               349.29                    82.19                 2716               4863                  1186   624    2      3    
