tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
LSHVd	strmgCAMI2_long_read_sample_0	0.04434482367709501	0.7818729970200818	0.33105006012320715	0.8	0.2857142857142857	0.4210526315789473	4.0	10.0	1.0	14.0	0.26666666666666666	1.3816035783407505	0.5235216237390989	0.1661583608269489	0.04434482367709501	0.7818729970200818	0.3386732788669804	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.4240418145530016	0.5136145159685341	0.1693366394334902
LSHVd	strmgCAMI2_long_read_sample_74	0.050640624425966896	0.6737227214979292	0.40213369586378916	0.6	0.25	0.35294117647058826	3.0	9.0	2.0	12.0	0.21428571428571427	1.1104335706353388	0.4468713425230985	0.20195991967348154	0.050640624425966896	0.6737227214979292	0.4109777451487244	0.6	0.2	0.3	3.0	12.0	2.0	15.0	0.17647058823529413	1.1618033416061264	0.42901839158419514	0.20548887257436224
LSHVd	strmgCAMI2_long_read_sample_73	0.04009351220592127	0.8926036070084516	0.37047770598456287	0.4	0.18181818181818182	0.25000000000000006	2.0	9.0	3.0	11.0	0.14285714285714285	1.066265915538439	0.44466742465115866	0.18585115453094875	0.04009351220592127	0.8926036070084516	0.3770668664362444	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.0993588493738737	0.442414546827208	0.1885334332181222
LSHVd	strmgCAMI2_long_read_sample_72	0.052490340822868214	0.7231582644214934	0.4268792043136663	0.8	0.3076923076923077	0.4444444444444444	4.0	9.0	1.0	13.0	0.2857142857142857	1.1552641755340145	0.4504042827096396	0.21447246585276322	0.052490340822868214	0.7231582644214934	0.43651087140737305	0.8	0.25	0.38095238095238093	4.0	12.0	1.0	16.0	0.23529411764705882	1.2105066445620192	0.43659798326819105	0.21825543570368655
LSHVd	strmgCAMI2_long_read_sample_71	0.04107625508431152	0.8810125045896721	0.3439971508278405	0.4	0.18181818181818182	0.25000000000000006	2.0	9.0	3.0	11.0	0.14285714285714285	1.1462006533093125	0.47800279950161606	0.1725060759084178	0.04107625508431152	0.8810125045896721	0.3498810072870991	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.1764174504063873	0.4734252091549408	0.17494050364354952
LSHVd	strmgCAMI2_long_read_sample_70	0.051861546555419615	0.6285293216919361	0.38632709396532333	0.6	0.23076923076923078	0.33333333333333337	3.0	10.0	2.0	13.0	0.2	0.9492234940177426	0.3700749456344683	0.19394687899071653	0.051861546555419615	0.6285293216919361	0.39440589353736344	0.6	0.17647058823529413	0.2727272727272727	3.0	14.0	2.0	17.0	0.15789473684210525	0.999322231113213	0.3527169011856047	0.19720284816725764
LSHVd	strmgCAMI2_long_read_sample_7	0.047408356666483735	0.7657808277850284	0.3434614945095491	0.8	0.2857142857142857	0.4210526315789473	4.0	10.0	1.0	14.0	0.26666666666666666	1.5126579448656456	0.5731811612770732	0.17254859882743662	0.047408356666483735	0.7657808277850284	0.35294016085537655	0.8	0.2222222222222222	0.3478260869565218	4.0	14.0	1.0	18.0	0.21052631578947367	1.569897403553256	0.5431472263955237	0.17647016866277265
LSHVd	strmgCAMI2_long_read_sample_69	0.05478273524347783	0.7442669066607086	0.40702414322243624	0.6	0.6	0.6	3.0	2.0	2.0	5.0	0.42857142857142855	0.48472073245358244	0.30117392457873376	0.20418941092494475	0.05478273524347783	0.7442669066607086	0.4136595647691594	0.6	0.42857142857142855	0.5	3.0	4.0	2.0	7.0	0.3333333333333333	0.5223949395464825	0.2684578934952835	0.20682967896974025
LSHVd	strmgCAMI2_long_read_sample_68	0.040328681268389316	0.8615959422855604	0.33351450836011376	0.4	0.18181818181818182	0.25000000000000006	2.0	9.0	3.0	11.0	0.14285714285714285	1.1544759534958873	0.48145386772817683	0.16721012492105944	0.040328681268389316	0.8615959422855604	0.33893229446940465	0.4	0.16666666666666666	0.23529411764705882	2.0	10.0	3.0	12.0	0.13333333333333333	1.1827463298989105	0.4759721376252973	0.16946606250167107
LSHVd	strmgCAMI2_long_read_sample_67	0.05083175553192047	0.6892134233865808	0.4095406377748818	0.8	0.26666666666666666	0.4	4.0	11.0	1.0	15.0	0.25	1.2380974558466613	0.4571914713186411	0.2057176606176503	0.05083175553192047	0.6892134233865808	0.4187517534972273	0.8	0.21052631578947367	0.3333333333333333	4.0	15.0	1.0	19.0	0.2	1.2940417999512328	0.4394867100684733	0.2093757720607277
LSHVd	strmgCAMI2_long_read_sample_66	0.040797175231536906	0.6625939917484963	0.25976123052554223	0.6	0.23076923076923078	0.33333333333333337	3.0	10.0	2.0	13.0	0.2	1.138806317213477	0.44398783699204253	0.1304096576266294	0.040797175231536906	0.6625939917484963	0.26787477630867695	0.6	0.1875	0.2857142857142857	3.0	13.0	2.0	16.0	0.16666666666666666	1.1867802916579477	0.42804051034991975	0.13393738815433848
