	Accuracy (bp)	Accuracy (bp) (unfiltered)	Accuracy (seq)	Accuracy (seq) (unfiltered)	Adjusted Rand index (bp)	Adjusted Rand index (bp) (unfiltered)	Adjusted Rand index (seq)	Adjusted Rand index (seq) (unfiltered)	Average completeness (bp)	Average completeness (bp) (unfiltered)	Average completeness (seq)	Average completeness (seq) (unfiltered)	Average purity (bp)	Average purity (bp) (unfiltered)	Average purity (seq)	Average purity (seq) (unfiltered)	CAMI 1 F1 score (bp)	CAMI 1 F1 score (bp) (unfiltered)	CAMI 1 F1 score (seq)	CAMI 1 F1 score (seq) (unfiltered)	CAMI 1 average completeness (bp)	CAMI 1 average completeness (bp) (unfiltered)	CAMI 1 average completeness (seq)	CAMI 1 average completeness (seq) (unfiltered)	CAMI 1 std error of av. completeness (bp)	CAMI 1 std error of av. completeness (bp) (unfiltered)	CAMI 1 std error of av. completeness (seq)	CAMI 1 std error of av. completeness (seq) (unfiltered)	Completeness (bp)	Completeness (bp) (unfiltered)	Completeness (seq)	Completeness (seq) (unfiltered)	F1 score (bp)	F1 score (bp) (unfiltered)	F1 score (seq)	F1 score (seq) (unfiltered)	F1 score for sample (bp)	F1 score for sample (bp) (unfiltered)	F1 score for sample (seq)	F1 score for sample (seq) (unfiltered)	Misclassification rate (bp)	Misclassification rate (bp) (unfiltered)	Misclassification rate (seq)	Misclassification rate (seq) (unfiltered)	Percentage of binned bp	Percentage of binned bp (unfiltered)	Percentage of binned sequences	Percentage of binned sequences (unfiltered)	Purity (bp)	Purity (bp) (unfiltered)	Purity (seq)	Purity (seq) (unfiltered)	Rand index (bp)	Rand index (bp) (unfiltered)	Rand index (seq)	Rand index (seq) (unfiltered)	Sample	Std error of av. completeness (bp)	Std error of av. completeness (bp) (unfiltered)	Std error of av. completeness (seq)	Std error of av. completeness (seq) (unfiltered)	Std error of av. purity (bp)	Std error of av. purity (bp) (unfiltered)	Std error of av. purity (seq)	Std error of av. purity (seq) (unfiltered)	Tool	UniFrac (bp)	UniFrac (bp) (unfiltered)	UniFrac (seq)	UniFrac (seq) (unfiltered)	avg_precision_bp_var	avg_precision_bp_var (unfiltered)	avg_recall_bp_var	avg_recall_bp_var (unfiltered)	avg_recall_bp_var_cami1	avg_recall_bp_var_cami1 (unfiltered)	rank	Unnamed: 0
7	0.9372210878507816	0.9372210878507816	0.9038429561609764	0.9038429561609764	0.0	0.0	-1.122837945619141e-15	-1.122837945619141e-15	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9372210878507816	0.9372210878507816	0.9038429561609764	0.9038429561609764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9372210878507816	0.9372210878507816	0.9038429561609764	0.9038429561609764	0.4917648926717216	0.4917648926717216	0.4870461678668921	0.4870461678668921	0.9372210878507816	0.9372210878507816	0.9038429561609764	0.9038429561609764	0.06277891214921849	0.06277891214921849	0.09615704383902356	0.09615704383902356	1.0	1.0	1.0	1.0	0.9372210878507816	0.9372210878507816	0.9038429561609764	0.9038429561609764	0.8822943067092297	0.8822943067092297	0.8261719576191002	0.8261719576191002	contigs	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337					LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	superkingdom	
8	0.8460838161339387	0.8494623098906146	0.6012128128502999	0.6026905568615146	0.8447494981242356	0.8418467770335194	0.5902209771685037	0.5819006605596022	0.07296489093524236	0.616996701429662	0.0548029563184886	0.4690134365319612	0.8743812764134969	0.10842086011175374	0.5575999336268627	0.06715937093274002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8460838161339387	0.8494623098906146	0.6012128128502999	0.6026905568615146	0.1346902255336679	0.18443257125723628	0.09979745460858944	0.11749438583217522	0.8794789499543755	0.8792484452139728	0.6735584764973173	0.6684757421916523	0.08438135982331874	0.08880062832921977	0.23430300618187594	0.2496182033702069	0.9240570025645994	0.9322463736262632	0.7851837184998874	0.8031785413350809	0.9156186401766812	0.9111993716707802	0.7656969938181241	0.7503817966297931	0.9230650419719448	0.9218345828281036	0.8033479213934733	0.8014745967734316	contigs	0.01896356456717687	0.07425250310698234	0.014930964418921597	0.07030865095713358	0.03489164113538864	0.023486735068068542	0.092368042710249	0.017531620290211953	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	phylum	
9	0.8441759419721577	0.8469609000582788	0.5796043018608449	0.5811332942971336	0.8833744688826576	0.8795616619228638	0.6531368359928419	0.6428911921358745	0.1877362080148084	0.5832189079704665	0.1439811882787429	0.4430506798053251	0.8114576300286379	0.2468070738302069	0.4155676899596771	0.13335320845680762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8441759419721577	0.8469609000582788	0.5796043018608449	0.5811332942971336	0.3049257764130365	0.3468386658604782	0.2138648905847746	0.20500288379089096	0.879788804731638	0.8787540065110342	0.6582530239467758	0.6541018497663795	0.08146122168467584	0.08697290285173864	0.2384029646622844	0.2519741459485062	0.9190422461210032	0.9276404859216852	0.7610380226911341	0.7768893162576819	0.9185387783153242	0.9130270971482614	0.7615970353377156	0.7480258540514938	0.9506355713331924	0.9494531269300184	0.8431938133964392	0.8405954072475246	contigs	0.03637160095222762	0.06743454029413411	0.02961220182500648	0.06068946960310401	0.05012171999714924	0.041453517688635824	0.07777175235715926	0.029913551012382536	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	class	
10	0.8093516151020066	0.8111205265308591	0.4928991273564215	0.494947207901785	0.8402145488077989	0.8353493343642221	0.5430616786596041	0.5311141926443175	0.2555018722512097	0.6597094152750598	0.19161238620897933	0.490000372664903	0.8157597256822579	0.300524075148461	0.42705176529804056	0.16796551761663256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8093516151020066	0.8111205265308591	0.4928991273564215	0.494947207901785	0.3891264983660786	0.4129382361051068	0.2645325661239192	0.2501745681429983	0.8455146821629197	0.8434164142129372	0.5634358238494335	0.5585453767207426	0.11493946032339752	0.121609240570012	0.3424674980466128	0.35910260683043194	0.9144590441211404	0.9234165066322164	0.7496194118041687	0.7722721502329973	0.8850605396766025	0.878390759429988	0.6575325019533872	0.6408973931695681	0.9761045586914464	0.9756885890791152	0.9298739169319344	0.9304362771107364	contigs	0.028028750186975367	0.0402965508244664	0.023264670238822848	0.03938340499369862	0.030411595832452513	0.030059129153018893	0.04294323342624752	0.021791292750655254	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	order	
11	0.7964115629112941	0.7967026482661792	0.4698505019952921	0.4703276370614177	0.8518632940268632	0.8458492330503508	0.5732883744451811	0.5581977888751329	0.2252496573650836	0.6858305591752595	0.1766355346245227	0.5369186799594836	0.5960289846020195	0.2266655748146617	0.3370943783703507	0.12995704086505278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7964115629112941	0.7967026482661792	0.4698505019952921	0.4703276370614177	0.3269422037804345	0.34072292940287263	0.23180602972972003	0.20926346740118876	0.8353788027696382	0.8317024831249664	0.5430142141797619	0.5359614306371175	0.12164456490325515	0.1300812348177317	0.3568338858861094	0.3771156213882249	0.9067076164031189	0.915835685070262	0.7305274511276443	0.7550801612807159	0.8783554350967449	0.8699187651822683	0.6431661141138906	0.6228843786117751	0.9843828296885918	0.9839497615430629	0.9542754284450092	0.9543868565047602	contigs	0.018606131077934837	0.03003140961768081	0.015923267917811987	0.030571033105447332	0.03273165592519673	0.018235405971211014	0.02842562844034544	0.013172006944862551	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	family	
12	0.7638774624587745	0.7638774624587745	0.4216219729669027	0.4216219729669027	0.8054762309558396	0.8006209736342547	0.5491766093139737	0.5371619050378527	0.10056918301964164	0.6624448359772045	0.0800575110553915	0.5273353445605136	0.2055348786435748	0.08313413848647873	0.130166146791147	0.05264921722775842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7638774624587745	0.7638774624587745	0.4216219729669027	0.4216219729669027	0.13505521432752302	0.14772889960690308	0.09913991453214124	0.09573976597596646	0.8075570726587182	0.8037360558961293	0.4961528383419643	0.4893290451336502	0.14346502767481115	0.15201677037177408	0.3973082743425924	0.4170579510136022	0.8918228527028126	0.9008167093041154	0.6995648936560452	0.7232656722911075	0.8565349723251888	0.8479832296282259	0.6026917256574076	0.5829420489863978	0.99088354667911	0.9907835983109338	0.9713057515158786	0.9717757358835132	contigs	0.006523628686832975	0.022331435782266332	0.00558663233700854	0.02237506651803945	0.011990524438586041	0.0052380256935371785	0.009213678975192815	0.003931451838588157	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	genus	
13	0.4548172352161871	0.4548172352161871	0.14123343758026258	0.14123343758026258	0.4953042171761299	0.4911574283943257	0.13587282958229946	0.12746432769648872	0.013494115415184742	0.4253751696150705	0.011227807832234704	0.3539343272303609	0.019862298242335458	0.010806788151972434	0.014158658737226652	0.007703520691434886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4548172352161871	0.4548172352161871	0.14123343758026258	0.14123343758026258	0.016070321446710424	0.02107808111400404	0.012524050877959164	0.0150788443681801	0.4749543027504454	0.472672902078947	0.16120158389036066	0.1576519088822864	0.5030428832698499	0.5080121501411394	0.8122541611226872	0.8216101666614188	0.9152041894656172	0.9244481044535208	0.7522586834670414	0.7917123691247792	0.4969571167301501	0.4919878498588606	0.1877458388773128	0.17838983333858116	0.9945983080469202	0.9946168262607648	0.9893225610059744	0.9896193159007776	contigs	0.0008228828209017485	0.017519484853402264	0.000730996034456663	0.016666683361647762	0.0010296923503908444	0.0005629556449702296	0.0008313513182221836	0.0004540345309508425	LSHVec	1.3107309037923618	1.31063953076741	3.061798942913158	3.061549919421009	0.0	0.0	0.0	0.0	0.0	0.0	species	
14	0.7961344955460339	0.7961344955460339	0.21347775425135285	0.21347775425135285	0.8886195971824263	0.8886195971824263	0.655180020620714	0.655180020620714	0.4565639096775674	0.4565639096775674	0.10200182799978286	0.10200182799978286	0.99461901748198	0.99461901748198	0.9826779095704145	0.9826779095704145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7961344955460339	0.7961344955460339	0.21347775425135285	0.21347775425135285	0.6258441148423289	0.6258441148423289	0.1848194257518352	0.1848194257518352	0.8827997819852268	0.8827997819852268	0.3499189330774289	0.3499189330774289	0.00936171707331068	0.00936171707331068	0.03033192232362858	0.03033192232362858	0.8036581154465141	0.8036581154465141	0.220155493581796	0.220155493581796	0.9906382829266892	0.9906382829266892	0.9696680776763714	0.9696680776763714	0.9814725318897084	0.9814725318897084	0.941177221040776	0.941177221040776	contigs	0.23984328409926095	0.23984328409926095	0.06685787201877075	0.06685787201877075	0.004359300929850375	0.004359300929850375	0.0139658225994127	0.0139658225994127	PhyloPythiaS+	1.5679114339383686	1.56079741171786	3.061737052090177	3.0449623846811296	0.0	0.0	0.0	0.0	0.0	0.0	superkingdom	
15	0.7529159863320621	0.7592375437153653	0.18208956545722765	0.18366979000346664	0.9786825358698148	0.9777323044072944	0.940894100817989	0.9393745853388914	0.3226299037883275	0.5125098840845363	0.1054733669310022	0.2314070092478488	0.9681810741704604	0.8648309750505877	0.8953265297626671	0.8011213227078429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7529159863320621	0.7592375437153653	0.18208956545722765	0.18366979000346664	0.4839812678123476	0.6436089074627673	0.18871525448532955	0.3590895931763313	0.8531912129635261	0.8569406686026042	0.3064105696184677	0.3085630297826032	0.01571991315256338	0.016496330618464228	0.03417765266029371	0.03577690989518989	0.7649407891036245	0.7719722532329774	0.1885331872458546	0.19048474558258285	0.9842800868474366	0.9835036693815358	0.9658223473397064	0.96422309010481	0.9893998369366314	0.9889569044379372	0.970798558341559	0.9701686999709922	contigs	0.07572783374740769	0.0728916302994232	0.042789030233929284	0.06477636338960402	0.014424135368090963	0.06692966591323983	0.07021404688398637	0.0820215117994521	PhyloPythiaS+	1.5679114339383686	1.56079741171786	3.061737052090177	3.0449623846811296	0.0	0.0	0.0	0.0	0.0	0.0	phylum	
16	0.7432715311816449	0.7491753888997283	0.17376794232670076	0.17544600648932054	0.9746276298133484	0.9744435614530744	0.9360305743161652	0.9362371954747564	0.4586573896957044	0.570359242973254	0.21277775561114695	0.2748943045235033	0.9547639373611888	0.8901291305746958	0.8508939442836837	0.8287266177648759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7432715311816449	0.7491753888997283	0.17376794232670076	0.17544600648932054	0.6196447257485723	0.6952378207978334	0.3404270391807919	0.4128450677760217	0.8462176771330647	0.849933358194544	0.2944064838642885	0.2967962382053436	0.01773454074520919	0.01799499070794996	0.037097950496375764	0.03741623162990504	0.7566911003320204	0.7629038363458309	0.1804627401263484	0.1822657022218402	0.9822654592547908	0.98200500929205	0.9629020495036242	0.9625837683700951	0.989279336446666	0.9892999096850148	0.9701493518588908	0.9704879847694041	contigs	0.0649420294973533	0.05816095314709228	0.05453051120001541	0.05800047791361195	0.015047336910539876	0.044579620741299834	0.0593664658020779	0.056465738063786124	PhyloPythiaS+	1.5679114339383686	1.56079741171786	3.061737052090177	3.0449623846811296	0.0	0.0	0.0	0.0	0.0	0.0	class	
