Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
ABySS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_STAR	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	2	4	2	0	2	138
HipMer	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0	0	0
marmgCAMI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Megahit	0	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	1	116	1	0	1	69
metaSPAdes	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	1	0	1	69
Miniasm	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	1	2	2	0	2
OPERA_MS_inhouse	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	2	29	0	0	0	0
SPAdes	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	6	0	0	0	0
