tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
LSHVd	strmgCAMI2_long_read_sample_0	0.04498962657966715	0.7934593658866423	0.5975153748635129	0.8333333333333334	0.23809523809523808	0.37037037037037035	5.0	16.0	1.0	21.0	0.22727272727272727	1.9737771697990873	0.6483043597717749	0.2998417342306435	0.04498962657966715	0.7934593658866423	0.6047461681462997	0.8333333333333334	0.21739130434782608	0.3448275862068966	5.0	18.0	1.0	23.0	0.20833333333333334	2.014430673188397	0.6424603378167787	0.3023730840731498
LSHVd	strmgCAMI2_long_read_sample_74	0.051070872197235974	0.6773077567434687	0.6463709977351344	0.6666666666666666	0.19047619047619047	0.2962962962962963	4.0	17.0	2.0	21.0	0.17391304347826086	1.919781826494126	0.6305691174112893	0.3244570876710501	0.051070872197235974	0.6773077567434687	0.6542092534046914	0.6666666666666666	0.16666666666666666	0.26666666666666666	4.0	20.0	2.0	24.0	0.15384615384615385	1.9663835389266575	0.6187382731372332	0.32710462670234575
LSHVd	strmgCAMI2_long_read_sample_73	0.04057505630418597	0.8898562380983576	0.4519529626501138	0.3333333333333333	0.14285714285714285	0.2	2.0	12.0	4.0	14.0	0.1111111111111111	1.1610496733289875	0.4399486363178984	0.22672343988684268	0.04057505630418597	0.8898562380983576	0.45854212310179526	0.3333333333333333	0.13333333333333333	0.19047619047619044	2.0	13.0	4.0	15.0	0.10526315789473684	1.194142607164422	0.4409602919024142	0.22927106155089771
LSHVd	strmgCAMI2_long_read_sample_72	0.05272085831892394	0.6470777820323386	0.6753475263080081	0.8333333333333334	0.21739130434782608	0.3448275862068966	5.0	18.0	1.0	23.0	0.20833333333333334	1.9905861861198553	0.6348556396650789	0.3390088288069809	0.05272085831892394	0.6470777820323386	0.683223814708373	0.8333333333333334	0.19230769230769232	0.3125	5.0	21.0	1.0	26.0	0.18518518518518517	2.0373687918618066	0.6253248693174154	0.34161190735418645
LSHVd	strmgCAMI2_long_read_sample_71	0.04144330144652827	0.8783938953973112	0.5068687596197796	0.3333333333333333	0.13333333333333333	0.19047619047619044	2.0	13.0	4.0	15.0	0.10526315789473684	1.347712022018497	0.4976687734481294	0.2541821654980368	0.04144330144652827	0.8783938953973112	0.5127526160790383	0.3333333333333333	0.125	0.18181818181818182	2.0	14.0	4.0	16.0	0.1	1.3779288191155719	0.49698276850900525	0.25637630803951916
LSHVd	strmgCAMI2_long_read_sample_70	0.05271664075047822	0.6690700379707577	0.6666376384729692	0.6666666666666666	0.17391304347826086	0.27586206896551724	4.0	19.0	2.0	23.0	0.16	1.9303213879465848	0.6156354485171861	0.3346281246726664	0.05271664075047822	0.6690700379707577	0.6744630741709546	0.6666666666666666	0.14814814814814814	0.24242424242424243	4.0	23.0	2.0	27.0	0.13793103448275862	1.9791215314432855	0.6004913507271528	0.3372315370854774
LSHVd	strmgCAMI2_long_read_sample_7	0.04841525587820965	0.7765772597535253	0.5968458777445084	0.8333333333333334	0.22727272727272727	0.35714285714285715	5.0	17.0	1.0	22.0	0.21739130434782608	2.1540998346196534	0.6968845841244576	0.29983480308130445	0.04841525587820965	0.7765772597535253	0.6062634916741857	0.8333333333333334	0.19230769230769232	0.3125	5.0	21.0	1.0	26.0	0.18518518518518517	2.2110414987150295	0.678629829691207	0.3031317458370928
LSHVd	strmgCAMI2_long_read_sample_69	0.05508537850301672	0.7541509551409136	0.6782256306884651	0.6666666666666666	0.3076923076923077	0.42105263157894735	4.0	9.0	2.0	13.0	0.26666666666666666	1.4998120134414203	0.5847335773232362	0.34072327383944473	0.05508537850301672	0.7541509551409136	0.687678806440533	0.6666666666666666	0.25	0.36363636363636365	4.0	12.0	2.0	16.0	0.2222222222222222	1.5540315522039243	0.560498403437395	0.3438394032202666
LSHVd	strmgCAMI2_long_read_sample_68	0.040676371410019424	0.8598229482881179	0.4809193745431978	0.5	0.1875	0.2727272727272727	3.0	13.0	3.0	16.0	0.15789473684210525	1.4045100096805108	0.5065699064612458	0.2411128361588555	0.040676371410019424	0.8598229482881179	0.48633716065248866	0.5	0.17647058823529413	0.2608695652173913	3.0	14.0	3.0	17.0	0.15	1.432780386083534	0.5057086114215001	0.2431685803262444
LSHVd	strmgCAMI2_long_read_sample_67	0.05213529531528367	0.6355002405501752	0.6771655746513413	0.8333333333333334	0.19230769230769232	0.3125	5.0	21.0	1.0	26.0	0.18518518518518517	2.1444608044267057	0.6581943718981866	0.3401493649071919	0.05213529531528367	0.6355002405501752	0.6863766903736868	0.8333333333333334	0.16666666666666666	0.2777777777777778	5.0	25.0	1.0	30.0	0.16129032258064516	2.2004051485312766	0.6469501477317805	0.3431883451868434
