	0
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.FTA.amb.4weeks.II')	2.846691296329465
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.FTA.heat.1week.II')	4.650648692090764
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.None.4C.1week.II')	7.7855305830957695
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.None.4C.4weeks.II')	3.072126829309599
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.None.amb.4weeks.II')	4.186928922499059
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.None.freezethaw.1week.II')	3.469593015751426
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.4C.1week.II')	2.2208393394352637
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.4C.4weeks.II')	3.0507505404090747
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.amb.1week.II')	2.3154736465132033
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.amb.4weeks.II')	2.2519678858213212
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.freezethaw.1week.II')	2.961537012721056
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.Omni.heat.1week.II')	2.8672166149253493
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.RNA.4C.4weeks.II')	2.6333516614645394
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.RNA.amb.4weeks.II')	2.500171062510372
('10394.H1.70etoh.amb.4weeks.II', '10394.H1.RNA.freezethaw.1week.II')	2.864869428488888
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.70etoh.4C.4weeks.II')	6.4084830840435405
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.70etoh.amb.4weeks.II')	3.33933046300466
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.70etoh.freezethaw.1week.II')	3.8520608901871998
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.95etoh.4C.4weeks.II')	5.925222915300283
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.95etoh.amb.4weeks.II')	3.993374876574098
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.95etoh.freezethaw.1week.II')	6.568506507897851
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.FTA.4C.1week.II')	3.7419448677864797
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.FTA.4C.4weeks.II')	3.7587615367037754
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.FTA.amb.1week.II')	3.6189326720184423
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.FTA.amb.4weeks.II')	3.3347353040826904
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.FTA.heat.1week.II')	3.752864504242323
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.None.4C.1week.II')	6.438334078360842
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.None.4C.4weeks.II')	3.894280404701754
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.None.amb.4weeks.II')	4.346396126225316
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.None.freezethaw.1week.II')	8.657617737551691
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.4C.1week.II')	6.545219225553508
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.4C.4weeks.II')	3.554869840801218
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.amb.1week.II')	3.738012379238231
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.amb.4weeks.II')	6.557333821646057
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.freezethaw.1week.II')	3.7079679938737446
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.Omni.heat.1week.II')	3.5579340786746485
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.RNA.4C.4weeks.II')	3.5950541871893336
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.RNA.amb.4weeks.II')	3.492317966014289
('10394.H1.70etoh.amb.4weeks.II', '10394.H10.RNA.freezethaw.1week.II')	3.523390696216068
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.95etoh.4C.4weeks.II')	2.101793191109747
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.95etoh.amb.4weeks.II')	0.7837546000025406
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.95etoh.freezethaw.1week.II')	2.013954707681107
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.FTA.4C.1week.II')	0.9971899615349368
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.FTA.4C.4weeks.II')	2.2905883358798134
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.FTA.amb.1week.II')	2.1146499662887646
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.FTA.amb.4weeks.II')	1.3190795165320972
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.FTA.heat.1week.II')	4.286789749597399
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.None.4C.1week.II')	7.593979162192591
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.None.4C.4weeks.II')	1.0817570454655856
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.None.amb.4weeks.II')	2.5179180155502134
('10394.H1.70etoh.freezethaw.1week.II', '10394.H1.None.freezethaw.1week.II')	1.8900608088786963
